date,home_team,away_team,home_win,runs_scored_diff,runs_allowed_diff,season_run_diff_diff,recent_win_pct_diff,rest_days_diff
2026-04-12,Atlanta Braves,Cleveland Guardians,1,1.333333333333334,0.7333333333333334,2.0666666666666664,0.0,0
2026-04-13,Seattle Mariners,Houston Astros,1,-1.875,2.8125,0.9375,0.2,0
2026-04-13,Baltimore Orioles,Arizona Diamondbacks,1,0.0,0.4416666666666669,0.44166666666666665,0.0,0
2026-04-13,Pittsburgh Pirates,Washington Nationals,1,-1.5333333333333332,1.9999999999999996,0.4666666666666667,0.29999999999999993,0
2026-04-13,Philadelphia Phillies,Chicago Cubs,1,-0.8666666666666671,-0.8666666666666663,-1.7333333333333334,0.0,0
2026-04-13,New York Yankees,Los Angeles Angels,1,-0.22916666666666696,1.8791666666666669,1.65,-0.09999999999999998,0
2026-04-13,Atlanta Braves,Miami Marlins,0,1.25,1.625,2.875,0.3,0
2026-04-13,Minnesota Twins,Boston Red Sox,1,0.8041666666666663,-0.30416666666666625,0.5,0.19999999999999996,0
2026-04-13,St. Louis Cardinals,Cleveland Guardians,0,0.6607142857142856,-0.7410714285714288,-0.0803571428571429,0.0,0
2026-04-13,Athletics,Texas Rangers,0,0.26666666666666705,-0.6666666666666665,-0.4,0.29999999999999993,0
2026-04-13,Los Angeles Dodgers,New York Mets,1,2.1916666666666664,0.3291666666666666,2.5208333333333335,0.29999999999999993,0
2026-04-14,Baltimore Orioles,Arizona Diamondbacks,0,0.13602941176470562,0.5220588235294121,0.6580882352941176,0.0,0
2026-04-14,Detroit Tigers,Kansas City Royals,1,0.5583333333333331,0.4624999999999999,1.0208333333333333,0.0,0
2026-04-14,Pittsburgh Pirates,Washington Nationals,0,-0.75,2.5625,1.8125,0.29999999999999993,0
2026-04-14,Cincinnati Reds,San Francisco Giants,1,0.1875,0.125,0.3125,0.19999999999999996,0
